UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
,,2021-10-04T23:01:18.000Z,,,,,,,[],https://twitter.com/jamieob256/status/1445162140101455881
,,2021-10-04T23:53:56.000Z,,,,,,,['https://pbs.twimg.com/media/FA5LWb3XIAI22a3?format=jpg&name=900x900'],https://twitter.com/hijonimdad/status/1445175383008202754
,,2021-10-04T23:52:36.000Z,,,,,,,[],https://twitter.com/HandsomeAssh0le/status/1445175051016364036
,,2021-10-04T22:38:21.000Z,,,🐺 🐺 💎,,,,[],https://twitter.com/brydisanto/status/1445156362074431492
SES,@SESBX,2021-10-04T23:27:28.000Z,"SES
@SESBX
·
2021年10月5日",I’m in transition into becoming the best version of myself. Constant work on my physical & mental health. ,🧿,1,4,14,[],https://twitter.com/SESBX/status/1445168723300655104
Nicholas Borgia-Tran,@NTranComposer,2021-10-04T23:46:15.000Z,"Nicholas Borgia-Tran
@NTranComposer
·
2021年10月5日",I have not watched Squid Game but how did none of you nerds tweet that Dies Irae is in the trailer?!?!????,,1,,11,[],https://twitter.com/NTranComposer/status/1445173452143570949
Superman,@jonathanbelle,2021-10-04T22:58:33.000Z,"Superman
@jonathanbelle
·
2021年10月5日",Ahh I didn’t know this.,🦇 🎃,,,,"['https://pbs.twimg.com/profile_images/1533592513847603200/paDTrvga_normal.jpg', 'https://pbs.twimg.com/media/FA4QAqPVEAcmEHi?format=png&name=900x900']",https://twitter.com/jonathanbelle/status/1445161448829767687
,,2021-10-04T23:51:23.000Z,,,,,,,"['https://pbs.twimg.com/profile_images/1635304658896838656/X0VXS6e9_normal.jpg', 'https://pbs.twimg.com/media/FA0pvsaWYAAdhCm?format=jpg&name=900x900']",https://twitter.com/ElOsoBlancoNj/status/1445174741787107338
,,2021-10-04T22:18:26.000Z,,,⛈ 🥲,,,,['https://pbs.twimg.com/media/FA41fgNXMAIyMjA?format=jpg&name=medium'],https://twitter.com/rafithecool/status/1445151352376766467
,,2021-10-04T22:26:47.000Z,,,,,,,"['https://pbs.twimg.com/media/FA43Xd0XMAY2z3P?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FA43XeQWEAUmWXN?format=jpg&name=small', 'https://pbs.twimg.com/media/FA43Xd0WYAIOQqO?format=jpg&name=small']",https://twitter.com/MurphyforSI/status/1445153451386802181
,,2021-10-04T22:19:34.000Z,,,,,,,[],https://twitter.com/DebonairPierre/status/1445151635324428291
,,2021-10-04T23:47:56.000Z,,,🤍 🥺,,,,['https://pbs.twimg.com/tweet_video_thumb/FA5J-fIWYAQJXd5.jpg'],https://twitter.com/StevieDerrick_/status/1445173873679478784
,,2021-10-04T23:18:35.000Z,,,,2,1,15,['https://pbs.twimg.com/profile_images/1349098063391027202/7qbMRPlL_normal.jpg'],https://twitter.com/rgodfrey/status/1445166490471239686
Connor Hughes,@Connor_J_Hughes,2021-10-04T23:31:29.000Z,"Connor Hughes
@Connor_J_Hughes
·
2021年10月5日","I can confirm #Jets safety Marcus Maye is facing charges from a DUI arrest. Happened in Florida in February. 
@RichCimini
 first",,40,49,344,[],https://twitter.com/Connor_J_Hughes/status/1445169736061526018
,,2021-10-04T22:33:11.000Z,,,🐝 🐝 🐝 🌻 🌻 🍄,,,,[],https://twitter.com/Jewyorican/status/1445155061697585155
,,2021-10-04T23:28:19.000Z,,,,,,,[],https://twitter.com/Ky_Carlin/status/1445168936539074560
,,2021-10-04T22:32:08.000Z,,,,,,,"['https://pbs.twimg.com/media/FA44jifXoAEqRC_?format=jpg&name=small', 'https://pbs.twimg.com/media/FA44jigWQAIHDhG?format=jpg&name=small', 'https://pbs.twimg.com/media/FA44jjwX0AAWe9t?format=jpg&name=small', 'https://pbs.twimg.com/media/FA44kCQWQAExwPA?format=jpg&name=small']",https://twitter.com/KendraPHL/status/1445154798190407681
,,2021-10-04T21:50:58.000Z,,,,,,,"['https://pbs.twimg.com/tweet_video_thumb/FA4vNNHXMAgfh6A.jpg', 'https://pbs.twimg.com/profile_images/1546844438466543617/dW--hqrz_normal.jpg']",https://twitter.com/CatalinaCruzNY/status/1445144440654401540
,,2021-10-04T23:37:50.000Z,,,🏗 🌐 🔰 🚋 🚄,,,,"['https://pbs.twimg.com/media/FA5Hq7YWQAcs0Cx?format=jpg&name=medium', 'https://pbs.twimg.com/profile_images/1636440537338134529/Z4JXhDGB_normal.jpg']",https://twitter.com/aarmlovi/status/1445171334842097664
,,2021-10-04T23:37:50.000Z,,,🏗 🌐 🔰 🚋 🚄,1,3,12,"['https://pbs.twimg.com/media/FA5Hq7YWQAcs0Cx?format=jpg&name=medium', 'https://pbs.twimg.com/profile_images/1636440537338134529/Z4JXhDGB_normal.jpg']",https://twitter.com/aarmlovi/status/1445171334842097664
,,2021-10-04T22:42:30.000Z,,,,,,,[],https://twitter.com/Serranosisters/status/1445157406800060416
,,2021-10-04T21:27:06.000Z,,,,,,,[],https://twitter.com/BaileyCarlin/status/1445138431160557577
,,2021-10-04T23:52:55.000Z,,,,,,,[],https://twitter.com/RachelLeishman/status/1445175128581681162
,,2021-10-04T23:41:10.000Z,,,,,,,[],https://twitter.com/AKannapell/status/1445172170313850891
,,2021-10-04T23:57:36.000Z,,,🔜,,,,['https://pbs.twimg.com/profile_images/1637850399829794817/FWTGyr8b_normal.jpg'],https://twitter.com/RachelLeishman/status/1445176306065453063
Ryan Leckey,@RyanLeckey,2021-10-04T21:39:04.000Z,"Ryan Leckey
@RyanLeckey
·
2021年10月5日","I miss those times…back when we’d browse Instagram and Facebook for minutes on end. One day, I’ll be able to tell the kids …..”this one time on Facebook……”",,3,,16,[],https://twitter.com/RyanLeckey/status/1445141445388685325
Rachel Leishman,@RachelLeishman,2021-10-04T23:35:58.000Z,"Rachel Leishman
@RachelLeishman
·
2021年10月5日",I am not mentally/physically/emotionally here to deal with your bullshit. I'm sorry that you can't understand good writing. Must suck to suck. Long live Rian Johnson,,2,1,30,['https://pbs.twimg.com/profile_images/1312971112532316160/wJ_KJC9r_normal.jpg'],https://twitter.com/RachelLeishman/status/1445170863532347398
,,2021-10-04T21:39:04.000Z,,"I miss those times…back when we’d browse Instagram and Facebook for minutes on end. One day, I’ll be able to tell the kids …..”this one time on Facebook……”",,3,,16,[],https://twitter.com/RyanLeckey/status/1445141445388685325
