UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Regrette Rien,@YaniqueJLambert,2022-01-02T15:30:17.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日",Delayed so might as well ,,,,3,['https://pbs.twimg.com/media/FIG3KHRWQAYDdIj?format=jpg&name=900x900'],https://twitter.com/YaniqueJLambert/status/1477663544954998793
Regrette Rien,@YaniqueJLambert,2022-01-02T10:28:21.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日",Never see a TSA line that long in my life. Move quick as hell though.,,1,,,[],https://twitter.com/YaniqueJLambert/status/1477587559719084035
Regrette Rien,@YaniqueJLambert,2022-01-02T07:46:10.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日","Back a spasm & my Meds in my suitcase. 

Vibes.",,1,,1,['https://pbs.twimg.com/tweet_video_thumb/FIFM7kkXoAI3IAi.jpg'],https://twitter.com/YaniqueJLambert/status/1477546745546616832
Regrette Rien,@YaniqueJLambert,2022-01-02T05:46:22.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日","At this point, I don't even wanna go to Alpha Centauri anymore. Send mi go Mars or sumtn. 
 
#LostinSpace",,,1,,[],https://twitter.com/YaniqueJLambert/status/1477516596528693248
Regrette Rien,@YaniqueJLambert,2022-01-02T02:53:05.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日",No man this rain is on one tonight.,,,2,,[],https://twitter.com/YaniqueJLambert/status/1477472989449007106
Regrette Rien,@YaniqueJLambert,2022-01-02T00:55:11.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日",This is the easiest fitted sheet tutorial I've seen.,,4,136,381,['https://pbs.twimg.com/ext_tw_video_thumb/1477443275791425539/pu/img/TpuxIwQNMGOtXLrZ.jpg'],https://twitter.com/YaniqueJLambert/status/1477443320012025861
Regrette Rien,@YaniqueJLambert,2022-01-02T00:35:59.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月2日",Yup. I'm bawlin.,,,,,"['https://pbs.twimg.com/profile_images/1628271560388710400/NR3jYLEx_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1477132305164640256/pu/img/SnDaUUkr4ZSf6ZvV.jpg']",https://twitter.com/YaniqueJLambert/status/1477438488689713152
Regrette Rien,@YaniqueJLambert,2022-01-03T23:29:31.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月4日",I naked bai ,💀,,,2,[],https://twitter.com/YaniqueJLambert/status/1478146534101307395
Regrette Rien,@YaniqueJLambert,2022-01-03T20:03:41.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月4日",2 countries in 2 seconds,,,,,"['https://pbs.twimg.com/media/FIM_TJkWUAIj9eP?format=jpg&name=small', 'https://pbs.twimg.com/media/FIM_TJfWQAYTelP?format=jpg&name=small']",https://twitter.com/YaniqueJLambert/status/1478094736426680324
,,2022-01-03T17:53:54.000Z,"Regrette Rien
@YaniqueJLambert
·
2022年1月4日",Both of us a (jokingly) cuss bout the  comrade napkins ,💀,1,,20,['https://pbs.twimg.com/media/FIMhn42XwAAk2GZ?format=jpg&name=900x900'],https://twitter.com/YaniqueJLambert/status/1478062074588803075
