UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Wendi,@iReadWriteSail,2022-01-01T22:30:29.000Z,"Wendi
@iReadWriteSail
·
2022年1月2日","I remember a time not that long ago that once our team got behind, we stayed behind.

Now? 

Now, we are elite. 
Now, we are a contender.

Now, we are the team to beat.
We are being talked about in every locker room and not just to make fun of our Storm Surge. 
#LetsGoCanes",🐰 🏒,2,1,28,['https://pbs.twimg.com/profile_images/1619057373473083412/RRyTzgLj_normal.jpg'],https://twitter.com/iReadWriteSail/status/1477406904393551873
Jason Delia,@jasonadelia,2022-01-01T23:02:51.000Z,"Jason Delia
@jasonadelia
·
2022年1月2日",This afternoon I was sworn in by Assemblyman Sterley Stanley to my second term as Metuchen Borough Councilperson. Incredibly proud and honored to also have been elected by my peers to serve as the 2022 Borough Council President.,,3,1,31,['https://pbs.twimg.com/media/FIDVJ-wXoAAO8Hs?format=jpg&name=small'],https://twitter.com/jasonadelia/status/1477415047542493196
Bailey O'Carroll,@baileyocarroll,2022-01-01T22:22:37.000Z,"Bailey O'Carroll
@baileyocarroll
·
2022年1月2日",It’s still Christmas here & I LOVE it,,1,1,27,"['https://pbs.twimg.com/media/FIDL8GyX0AEDNgM?format=jpg&name=small', 'https://pbs.twimg.com/media/FIDL8HdXsAM3C7L?format=jpg&name=small', 'https://pbs.twimg.com/media/FIDL8HcXwAUKhpm?format=jpg&name=small', 'https://pbs.twimg.com/media/FIDL8HeXsAI9_oY?format=jpg&name=small']",https://twitter.com/baileyocarroll/status/1477404922861830151
Lovette,@lovettejallow,2022-01-01T23:39:09.000Z,"Lovette
@lovettejallow
·
2022年1月2日",To this day I cant tell the difference between Glenn Close and Meryl Streep. ,,12,1,27,[],https://twitter.com/lovettejallow/status/1477424184292687876
Ron,@rxh_716,2022-01-01T22:15:47.000Z,"Ron
@rxh_716
·
2022年1月2日","If you don’t have to fly for travel I’ll sell you my 
@FYAFest
 Saturday ticket for $20 or less just so it’s not wasted.",,,4,5,[],https://twitter.com/rxh_716/status/1477403204677738500
Tanya Gold | Book Editor & Translator,@EditorTanya,2022-01-01T22:23:31.000Z,"Tanya Gold | Book Editor & Translator
@EditorTanya
·
2022年1月2日","Happy new year, friends! I hope your 2022 is filled with beauty and wonder ",🌈 💕 📚 💕,,,28,['https://pbs.twimg.com/media/FIDMJ7lXwAcdKmc?format=jpg&name=small'],https://twitter.com/EditorTanya/status/1477405151547830273
"Pink Lady, Little Rock Star",@ThatRoseTattoo,2022-01-01T23:56:39.000Z,"Pink Lady, Little Rock Star
@ThatRoseTattoo
·
2022年1月2日","We got like an hour to the show and I need an adult, I am not responsible",🎬 ⭐,2,,22,[],https://twitter.com/ThatRoseTattoo/status/1477428587091398663
m v r i s s v,@mvrissv_lee,2022-01-01T23:55:05.000Z,"m v r i s s v
@mvrissv_lee
·
2022年1月2日",My mental capacity does not always allow me to be available and I apologize. Don’t take it personal. I do my best.,,1,5,8,[],https://twitter.com/mvrissv_lee/status/1477428195787948038
"Pink Lady, Little Rock Star",@ThatRoseTattoo,2022-01-01T23:39:02.000Z,"Pink Lady, Little Rock Star
@ThatRoseTattoo
·
2022年1月2日","Tiff on January 1 2019: “Wow, brand new year ahead and I’m in the best shape of my life, let’s go!”

Tiff on January 1 2022: “I found a portal entrance to another dimension in my hotel bathroom”",🎬 ⭐,4,4,26,[],https://twitter.com/ThatRoseTattoo/status/1477424156849356801
Dan Rice,@DRiceHockey,2022-01-01T23:57:57.000Z,"Dan Rice
@DRiceHockey
·
2022年1月2日","I know two no. 16s who are awesome people and players - 
@lexlaing16
 & 
@hbeattie16",,1,,16,"['https://pbs.twimg.com/media/FIDhxAcX0AUZcVO?format=jpg&name=small', 'https://pbs.twimg.com/media/FIDhxAcXsAMOvCI?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1370497309713199106/ioISC3l4_normal.jpg', 'https://pbs.twimg.com/media/FH6cT4cVEAI7Ygo?format=jpg&name=240x240']",https://twitter.com/DRiceHockey/status/1477428914276470786
